"location","price","property_type","postal_code","available","till_move_in_day","minimum_term","maximum_term","furnishings","occupation","gender","min_age","max_age","property_id"
Manchester,600,Flat rent,M14,"16/04/2023",0,3,0,Furnished,Student,No preference,,,1191
Manchester,550,House share,M22,"01/05/2023",15,3,12,Furnished,Professional,No preference,"18","45",1198
Manchester,390,House share,M19,"16/04/2023",0,4,0,Furnished,Don't mind,No preference,,,1193
Manchester,500,House share,M41,"16/04/2023",0,0,0,Furnished,Don't mind,No preference,"21","55",1194
Manchester,400,House share,M14,"16/04/2023",0,1,6,Furnished,Don't mind,No preference,"21","35",1195
Manchester,550,House share,M27,"16/04/2023",0,6,0,Furnished,Don't mind,No preference,"18","65",1196
Manchester,500,House share,M40,"16/04/2023",0,6,0,Furnished,Don't mind,Male,,,1199
Manchester,600,Flat share,M30,"16/04/2023",0,1,0,Furnished,Don't mind,No preference,,,1200
Manchester,625,House share,M30,"16/04/2023",0,6,0,Furnished,Professional,No preference,"21","35",1271
Manchester,475,House share,M6,"16/04/2023",0,6,0,Furnished,Professional,No preference,"21","35",1272
Manchester,800,Flat share,M15,"01/06/2023",46,6,0,Furnished,Professional,No preference,"21","33",1209
Manchester,560,House share,M20,"16/04/2023",0,6,0,Furnished,Don't mind,No preference,"21","35",1278
Manchester,660,House share,M13,"01/05/2023",15,6,0,Furnished,Professional,Male,"24","38",1211
Manchester,695,House share,M32,"16/04/2023",0,6,0,Furnished,Professional,No preference,"21","45",1283
Manchester,650,House share,M19,"13/05/2023",27,6,0,Furnished,Don't mind,Female,,,1213
Manchester,520,House share,M13,"01/07/2023",76,12,0,Furnished,Don't mind,Female,"18","26",1214
Manchester,525,Flat share,M4,"11/05/2023",25,0,0,Furnished,Professional,Female,"24","35",1215
Manchester,550,House share,M24,"16/04/2023",0,0,0,Furnished,Don't mind,No preference,,,1285
Manchester,785,House share,M16,"16/04/2023",0,0,0,Furnished,Professional,No preference,"40",,1286
Manchester,500,House rent,M19,"12/05/2023",26,6,0,Part Furnished,Professional,No preference,,,1218
Manchester,625,House share,M20,"01/05/2023",15,8,0,Furnished,Don't mind,Female,"22","32",1219
Manchester,650,House share,M20,"15/05/2023",29,8,0,Furnished,Don't mind,No preference,"22","31",1220
Manchester,550,House share,M25,"16/04/2023",0,0,0,Furnished,Professional,Female,"24","35",1287
Manchester,550,Flat share,M20,"15/05/2023",29,8,0,Furnished,Professional,Male,"22","30",1222
Manchester,575,House share,M21,"15/05/2023",29,8,0,Furnished,Professional,Male,"22","29",1223
Manchester,600,House share,M20,"16/04/2023",0,6,24,Furnished,Don't mind,No preference,"21","60",1288
Manchester,600,Flat rent,M18,"16/04/2023",0,6,12,Furnished,Professional,No preference,,,1289
Manchester,550,House share,M18,"16/04/2023",0,3,12,Furnished,Don't mind,No preference,"18","65",1290
Manchester,675,Flat share,M5,"24/05/2023",38,12,0,Furnished,Professional,Female,,,1227
Manchester,600,House share,M33,"16/04/2023",0,3,0,Furnished,Professional,Female,"18","45",1326
Manchester,750,Flat share,M16,"10/06/2023",55,6,0,Furnished,Professional,No preference,,,1229
Manchester,585,House share,M21,"18/04/2023",2,6,0,Furnished,Professional,Female,"24","33",1230
Manchester,600,Flat rent,M1,"16/04/2023",0,3,4,Furnished,Student,No preference,,,1327
Manchester,500,House share,M8,"16/04/2023",0,1,0,Furnished,Professional,No preference,"28",,1333
Manchester,550,Flat share,M26,"16/04/2023",0,6,0,Furnished,Don't mind,No preference,"18",,1334
Manchester,585,House share,M21,"06/05/2023",20,6,0,Furnished,Don't mind,No preference,,,1234
Manchester,800,House share,M20,"16/04/2023",0,6,0,Furnished,Professional,No preference,"22","35",1336
Manchester,550,Flat share,M3,"16/04/2023",0,12,0,Furnished,Professional,No preference,"25","30",1338
Manchester,650,Flat rent,M28,"15/05/2023",29,6,6,Furnished,Professional,No preference,,,1237
Manchester,675,House share,M33,"16/04/2023",0,6,0,Furnished,Professional,Female,"26","41",1367
Manchester,675,House share,M21,"16/04/2023",0,3,0,Furnished,Don't mind,No preference,,,1368
Manchester,650,Flat share,M5,"19/05/2023",33,12,0,Furnished,Professional,No preference,"24","30",1240
Manchester,350,House share,M28,"01/05/2023",15,0,0,Furnished,Professional,Female,"20","35",1243
Manchester,600,Flat share,M13,"16/04/2023",0,10,0,Furnished,Student,Female,"18","24",1241
Manchester,550,House share,M11,"01/05/2023",15,6,0,Furnished,Professional,Female,"23","35",1245
Manchester,490,Flat share,M5,"01/07/2023",76,2,2,Furnished,Don't mind,Female,,,1246
Manchester,300,House share,M27,"01/05/2023",15,6,12,Furnished,Professional,Male,,"35",1247
Manchester,1050,Flat share,M15,"12/06/2023",57,3,3,Furnished,Student,No preference,,,1251
Manchester,350,House share,M19,"01/05/2023",15,6,0,Furnished,Don't mind,No preference,"20","40",1254
Manchester,875,House share,M7,"16/04/2023",0,6,0,Furnished,Don't mind,No preference,"25","55",1242
Manchester,689,House share,M20,"16/04/2023",0,6,0,Furnished,Professional,Female,"21","34",1248
Manchester,700,House share,M19,"16/04/2023",0,0,0,Furnished,Don't mind,No preference,"20","66",1249
Manchester,595,House share,M14,"01/05/2023",15,6,0,Furnished,Don't mind,No preference,"20","46",1258
Manchester,600,House share,M24,"24/04/2023",8,12,0,Furnished,Professional,No preference,"18","60",1259
Manchester,650,Flat share,M4,"16/04/2023",0,0,0,Furnished,Don't mind,No preference,"24","60",1250
Manchester,1350,Flat share,M4,"16/04/2023",0,0,0,Furnished,Don't mind,No preference,,,1252
Manchester,650,House share,M23,"16/04/2023",0,0,3,Furnished,Professional,No preference,"26","46",1253
Manchester,590,House share,M21,"01/06/2023",46,3,15,Furnished,Professional,Female,"21","26",1263
Manchester,480,House share,M14,"16/04/2023",0,9,0,Furnished,Don't mind,No preference,"23","36",1369
Manchester,525,Shared property,M20,"01/06/2023",46,8,0,Furnished,Professional,Female,"21","29",1265
Manchester,675,House share,M20,"01/06/2023",46,8,0,Furnished,Professional,Female,"25","30",1266
Manchester,300,Flat share,M15,"16/04/2023",0,3,4,Furnished,Don't mind,Female,"21",,1371
Manchester,500,Flat share,M21,"16/04/2023",0,3,0,Furnished,Professional,Female,"27","35",1382
Manchester,790,Flat share,M50,"16/04/2023",0,0,0,Furnished,Don't mind,No preference,"18","35",1385
Manchester,600,Flat share,M4,"16/04/2023",0,1,4,Furnished,Don't mind,Male,"18","40",1386
Manchester,849,House share,M27,"16/04/2023",0,0,0,Furnished,Don't mind,No preference,,,1420
Manchester,550,Shared property,M16,"16/04/2023",0,6,0,Furnished,Professional,No preference,,,1422
Manchester,575,Flat share,M6,"01/05/2023",15,6,0,Furnished,Professional,No preference,"21","42",1273
Manchester,650,House share,M14,"21/07/2023",96,6,0,Furnished,Professional,No preference,"21","35",1274
Manchester,550,House share,M11,"16/04/2023",0,1,0,Furnished,Don't mind,Male,"21","40",1431
Manchester,595,Flat share,M4,"16/04/2023",0,0,0,Unfurnished,Professional,No preference,"22","32",1433
Manchester,635,House share,M20,"01/07/2023",76,12,12,Furnished,Student,No preference,"18","25",1277
Manchester,450,House share,M40,"16/04/2023",0,3,0,Furnished,Don't mind,Male,"18","65",1435
Manchester,530,House share,M20,"05/05/2023",19,6,0,Furnished,Professional,No preference,"21","35",1279
Manchester,550,House share,M32,"01/05/2023",15,6,0,Furnished,Professional,No preference,"21","45",1280
Manchester,375,Flat share,M5,"16/04/2023",0,0,0,Furnished,Don't mind,No preference,,,1453
Manchester,575,House share,M20,"19/04/2023",3,3,4,Furnished,Professional,No preference,"23","40",1282
Manchester,600,Flat share,M32,"16/04/2023",0,0,12,Furnished,Professional,No preference,"24","32",1454
Manchester,475,House share,M14,"05/08/2023",111,10,0,Furnished,Student,No preference,"18","65",1284
Manchester,595,Flat share,M9,"16/04/2023",0,6,0,Furnished,Don't mind,No preference,"18",,1459
Manchester,700,House share,M3,"16/04/2023",0,6,36,Unfurnished,Professional,No preference,"25",,1463
Manchester,515,House share,M6,"16/04/2023",0,3,0,Furnished,Don't mind,No preference,"23",,1465
Manchester,550,House share,M11,"16/04/2023",0,6,0,Furnished,Professional,No preference,"25","50",1467
Manchester,550,House share,M14,"16/04/2023",0,0,0,Furnished,Don't mind,No preference,,,1469
Manchester,400,Flat share,M5,"16/04/2023",0,3,0,Furnished,Don't mind,No preference,"21","35",1470
Manchester,597,Flat share,M4,"16/04/2023",0,0,0,Furnished,Professional,No preference,,,1471
Manchester,525,Flat share,M15,"07/05/2023",21,6,0,Furnished,Don't mind,No preference,"20",,1291
Manchester,450,Flat rent,M3,"16/04/2023",0,0,0,Furnished,Don't mind,No preference,,,1296
Manchester,900,Flat share,M1,"22/06/2023",67,6,0,Furnished,Professional,Female,"25","40",1293
Manchester,500,Flat share,M15,"30/04/2023",14,7,0,Furnished,Don't mind,Male,"24","34",1294
Manchester,450,Flat share,M3,"01/07/2023",76,0,0,Furnished,Don't mind,Female,"24","28",1295
Manchester,553,House share,M13,"01/07/2023",76,12,0,Furnished,Student,No preference,"18","25",1297
Manchester,525,House share,M19,"20/04/2023",4,3,0,Furnished,Don't mind,No preference,"26",,1299
Manchester,675,House share,M16,"16/04/2023",0,6,0,Furnished,Professional,No preference,"30","50",1298
Manchester,625,Flat share,M4,"16/04/2023",0,6,0,Furnished,Professional,No preference,"28","40",1300
Manchester,550,House share,M16,"15/06/2023",60,0,6,Furnished,Don't mind,Female,,,1303
